Type of reference (TY),First Author (A1),Secondary Author (A2),Tertiary Author (A3),Subsidiary Author (A4),Abstract (AB),Author Address (AD),Accession Number (AN),Author (AU),Location in Archives (AV),This field maps to T2 for all reference types except for Whole Book and Unpublished Work references. (BT),Custom 1 (C1),Custom 2 (C2),Custom 3 (C3),Custom 4 (C4),Custom 5 (C5),Custom 6 (C6),Custom 7 (C7),Custom 8 (C8),Caption (CA),Call Number (CN),This field can contain alphanumeric characters. (CP),Title of unpublished reference (CT),Place Published (CY),Date (DA),Name of Database (DB),DOI (DO),Database Provider (DP),Editor (ED),End Page (EP),Edition (ET),Reference ID (ID),Issue number (IS),Periodical name: user abbreviation 1. (J1),Alternate Title (J2),Periodical name: standard abbreviation. (JA),Journal/Periodical name: full format. (JF),Journal/Periodical name: full format. (JO),Keywords (KW),Link to PDF. (L1),Link to Full-text. (L2),Related Records. (L3),Image(s). (L4),Language (LA),Label (LB),Website Link (LK),Number (M1),Miscellaneous 2. (M2),Type of Work (M3),Notes (N1),Abstract. (N2),Number of Volumes (NV),Original Publication (OP),Publisher (PB),Publishing Place (PP),Publication year (YYYY/MM/DD) (PY),Reviewed Item (RI),Research Notes (RN),Reprint Edition (RP),Section (SE),ISBN/ISSN (SN),Start Page (SP),Short Title (ST),Primary Title (T1),Secondary Title (T2),Tertiary Title (T3),Translated Author (TA),Title (TI),Translated Title (TT),User definable 1. (U1),User definable 2. (U2),User definable 3. (U3),User definable 4. (U4),User definable 5. (U5),URL (UR),Volume number (VL),Published Standard number (VO),Primary Date (Y1),Access Date (Y2),End of Reference (ER)
JOUR ,,,,,"PURPOSE: This study evaluates using ultrasound the changes that occur in wall thickness, blood flow velocity, and Doppler indices of the common carotid arteries (CCAs) in healthy Saudi adult males who are current smokers. METHODS: A prospective study was performed between May 2011 and May 2013 with a group consisting of nonsmokers (n = 180; 36 %) and current smokers (n = 320; 64 %) with a mean age of 25 +/- 2.6 years. In all cases, the CCA ultrasound scanning protocol met the standards established by the American Institute of Ultrasound in Medicine (AIUM) to measure intima media thickness (IMT), peak systolic velocity (PSV), and end diastolic velocity (EDV). The Statistical Package for the Social Sciences (SPSS) was used to analyze the results. RESULTS: Significant linear and positive correlations were noted between the level of daily consumption of cigarettes smoked and carotid mean IMT, PSV, and Doppler indices, while a linear and negative correlation was present between cigarette smoking and mean EDV. These findings were significant when compared with the results for nonsmokers. CONCLUSIONS: Cigarette smoking is associated with CCA morphological changes caused by significant impairment of arterial endothelial function, and an increase in daily cigarette consumption significantly leads to a decrease in the blood flow velocity of CCAs. ",,,"Sulieman, A. ",,,,,,,,,,,,,,,,Jul ,,,,,,01/07/2014,28739,3,,Journal of medical ultrasonics (2001) ,,,,End diastolic velocity (EDV) Intima media thickness (IMT) Peak systolic velocity (PSV) Pulsatility index (PI) Resistivity index (RI) ,,,,,,,,,,,,,,,,,2014,,,,,,351-7 ,Evaluation of common carotid artery changes in Saudi current smokers using medical ultrasound (B-mode and Doppler) ,,J Med Ultrason (2001) ,,,Evaluation of common carotid artery changes in Saudi current smokers using medical ultrasound (B-mode and Doppler) ,,,,,,,,41,,,,  
JOUR ,,,,,"OBJECTIVE: To test the applicability of the Tanaka and Johnston equation for prediction of the mesiodistal width of unerupted permanent teeth in a Sudanese population and to develop a new prediction equation for this specific population if necessary. DESIGN: A descriptive, cross-sectional study. SETTINGS: School-based study. SUBJECTS AND METHODS: Two hundred and fifty subjects (118 males and 132 females) age 13 - 19 years were randomly selected from two public secondary high schools in Khartoum State. Mesiodistal widths of the upper and lower permanent canines, first and second premolars (CPM) as well as the mandibular permanent incisors (MPI) were measured manually on the dental casts using a digital caliper. The predicted values of the mesiodistal widths were statistically compared with the respective actual sum of the canine and premolars of the same quadrant. RESULTS: Moderate correlation coefficients were found between the sum of the mesiodistal width of the MPI and the sum of the CPM in males (0.618 for mandibular arch and 0.626 for maxillary arch) and females (0.726 for mandibular arch and 0.680 for maxillary arch). A low coefficient of determination was recorded (0.45 and 0.48) in both jaws for combined genders. CONCLUSIONS: The Tanaka and Johnston equations overestimated the actual mesiodistal width of CPM in both arches for males and females. New prediction equations with more accurate regression parameters were proposed for the Sudanese population. ",,,"Ali, M. A. ",,,,,,,,,,,,,,,,Mar ,,,,,,19/01/2016,28741,1,,Journal of orthodontics ,,,,Mixed dentition Tanaka and Johnston equations space analysis ,,,,,,,,,,,,,,,,,2016,,,,,,33-8 ,Mixed dentition space analysis in a Sudanese population ,,J Orthod ,,,Mixed dentition space analysis in a Sudanese population ,,,,,,,,43,,,,  
JOUR ,,,,,,,,"Edelhauser, H. F. ",,,,,,,,,,,,,,,,,,,,,,,28743,13,,,,,,,,,,,,,,,,,,,,,,,2002,,,,,,3063-3063 ,Prevalence of Trachoma in Southern Sudan ,,Investigative Ophthalmology & Visual Science ,,,Prevalence of Trachoma in Southern Sudan ,,,,,,,,43,,,,  
JOUR ,,,,,,,,"Truong, T. K. ",,,,,,,,,,,,,,,,Dec ,,,,,,01/12/1974,28746,4,,Annals of tropical medicine and parasitology ,,,,Antigens/analysis Central African Republic Colombia Cross Reactions Diethylcarbamazine/therapeutic use Epidemiologic Methods Europe Filariasis/drug therapy/epidemiology/immunology Filarioidea/immunology Fluorescent Antibody Technique  Loiasis/immunology Onchocerciasis/immunology Serologic Tests Sudan Time Factors Tunisia ,,,,,,,,,,,,,,,,,1974,,,,,,435-52 ,"Application of the indirect fluorescent antibody test on sections of adult filariae to the serodiagnosis, epidemiology and post-therapeutic surveillance of human filariasis ",,Ann Trop Med Parasitol ,,,"Application of the indirect fluorescent antibody test on sections of adult filariae to the serodiagnosis, epidemiology and post-therapeutic surveillance of human filariasis ",,,,,,,,68,,,,  
JOUR ,,,,,,,,"Pineda, R. ",,,,,,,,,,,,,,,,Jun ,,,,,,16/06/2010,28748,6,,"Archives of ophthalmology (Chicago, Ill. : 1960) ",,,,"Activities of Daily Living  Aged Artificial Organs Cornea Corneal Diseases/physiopathology/surgery Ethiopia    Middle Aged Prostheses and Implants Sickness Impact Profile Sudan Transplantation, Autologous Vision Disorders/rehabilitation Visual Acuity/physiology ",,,,,,,,,,,,,,,,,2010,,,,,,795-7 ,Role for ipsilateral autologous corneas as a carrier for the Boston keratoprosthesis: the Africa experience ,,Arch Ophthalmol ,,,Role for ipsilateral autologous corneas as a carrier for the Boston keratoprosthesis: the Africa experience ,,,,,,,,128,,,,  
JOUR ,,,,,"The pesticides endosulfan and amitraz were fed to 2 groups of Nubian goats (3 goats/group) at 5 mg/kg/d for 36 d to assess their effects on feedlot performance, carcass yield and meat quality. Growth rates, weight gains and feed conversion efficiencies were depressed insignificantly. The endosulfan-dosed group had significantly lower dressing-out percentage and both groups had significant depletions of omental and mesenteric fats. Significant reductions were also seen on body and cavity fats, the latter being severely reduced suggesting more mobilization of cavity fat than body fat. The fat-free body was homogenous with variations in the muscle/bone ratio reflected on carcass cuts. Meat quality was unaffected. Fat was the only chemical component of endosulfan-dosed total lean significantly reduced. In all parameters the effects of endosulfan were more pronounced than those of amitraz. ",,,"Abdalla, G. A. ",,,,,,,,,,,,,,,,Apr ,,,,,,,28751,2,,,,,,"Administration, Oral Animals Body Composition/drug effects Body Weight/drug effects Endosulfan/adverse effects Goats Insecticides/adverse effects Meat/analysis Organ Size/drug effects Time Factors Toluidines/adverse effects ",,,,,,,,,,,"Amin, A E Abdalla, G A eng 1995/04/01 Vet Hum Toxicol. 1995 Apr;37(2):113-6. ",,,,,,1995,,,,,,113-6 ,"Effects of endosulfan and amitraz on feedlot performance, carcass yield and meat quality characteristics of Nubian goats ",,Vet Hum Toxicol ,,,"Effects of endosulfan and amitraz on feedlot performance, carcass yield and meat quality characteristics of Nubian goats ",,,,,,,,37,,,,  
JOUR ,,,,,"Molasses at 10, 30 or 50% of the diet for 12 w was not toxic to goats and could be used as an inexpensive substitute for sorghum grain. No animals showed signs or lesions of illness attributable to feeding molasses. There were no differences among treatment groups in any of the following parameters: WBC, RBC, PCV, Hb, MCV, MCHC, GOT, uric acid, urea, cholesterol, and zinc. Serum creatinine, total protein, iron, copper, magnesium and calcium varied between groups but remained within the ranges for normal goats. Feedlot performance indicated that utilization of molasses energy for body weight gain was a function of intake; feeding 50% dietary molasses did not produce economic weight gain. ",,,"Adam, S. E. ",,,,,,,,,,,,,,,,Jun ,,,,,,01/06/1993,28752,3,,Veterinary and human toxicology ,,,, Cerebral Cortex/pathology Diet  Goats Iron/blood  Molasses/toxicity Necrosis ,,,,,,,,,,,,,,,,,1993,,,,,,213-6 ,Determination of the toxicity of molasses in Nubian goats ,,Vet Hum Toxicol ,,,Determination of the toxicity of molasses in Nubian goats ,,,,,,,,35,,,,  
JOUR ,,,,,,,,"al, et ",,,,,,,,,,,,,,,,1962,,,,,,,28754,1,,,,,,Gaucher's Disease ,,,,,,,,,,,,,,,,,1962,,,,,,1,A case of gaucher's disease ,,Sudan Medical Journal ,,,A case of gaucher's disease ,,,,,,,,34,,,,  
JOUR ,,,,,,,,"al, et ",,,,,,,,,,,,,,,,1970,,,,,,,28755,,,,,,,Immunoelectrophoresis Haemochromatosis ,,,,,,,,,,,,,,,,,1970,,,,,,613,Studies by immunoelectrophoresis on non binding proteins in haemochromatosis ,,CI. Sc ,,,Studies by immunoelectrophoresis on non binding proteins in haemochromatosis ,,,,,,,,38,,,,  
JOUR ,,,,,"This study was carried out in southern Darfur, Sudan during dry-and green (wet) season and was designed to investigate the effects of season (dry-versus green season) on the blood constituents of the one-humped camel (Camelus dromedarius). Two hundred and ten blood samples collected from apparently healthy one-humped camels (Camelus dromedarius) of different age and sex groups were used in this study, out of which 110 blood samples were collected during the dry season, while 100 blood samples were collected during the green season. The data analysis revealed that the season had significant effects on some of the haematological indices and the blood metabolites and minerals concentrations. The red blood cells count, lymphocytes and basophils percentages increased significantly during the dry season, while the osmotic resistance, MCV, MCH and neutrophils percentage increased significantly during the green season. The serum levels of total protein, globulins and triglycerides increased significantly during the dry season, while the concentrations of plasma glucose and serum urea, creatinine, phosphorus (P) and calcium (Ca) increased significantly during the green season. The results obtained in the present study indicate that the nutritional status could induce significant changes in the physiological responses of the dromedary camel. The available forage during the green season improved the body condition, the blood metabolic and mineral profile in camels. The results indicate that despite camel's selectivity and unique adaptation to arid conditions; glucose, urea, P and Ca levels were lower during the dry season. Therefore, it could be beneficial to provide concentrate feed to camels kept under dry tropical conditions. ",,,"Abdelatif, A. M. ",,,,,,,,,,,,,,,,Apr-15,,,,,,,28756,8,,,,,,Aging/physiology Animals Blood Chemical Analysis Blood Proteins/analysis Camelus/blood/growth & development Climate Creatinine/blood Erythrocyte Count Female Hemoglobins/analysis Male Seasons Serum Albumin/analysis Serum Globulins/analysis Sudan Temperature Triglycerides/blood Urea/blood ,,,,,,,,,,,"Amin, Alia S A Abdoun, Khalid A Abdelatif, Abdalla M eng Research Support, Non-U.S. Gov't Pakistan 2007/04/15 00:00 Pak J Biol Sci. 2007 Apr 15;10(8):1250-6. ",,,,,,2007,,,,,,1250-6 ,Seasonal variation in blood constituents of one-humped camel (Camelus dromedarius) ,,Pak J Biol Sci ,,,Seasonal variation in blood constituents of one-humped camel (Camelus dromedarius) ,,,,,,,,10,,,,  
